id,category,author,title,cover,inventory,threshold,price
167,book,Henry Louis Gates Jr.,The Norton Anthology of African American Literature,,20,10,59.95
168,book,William Nack,The Best American Sports Writing 2008,,20,10,
169,book,John Miller,New Orleans Stories: Great Writers on the City,,20,10,1.99
170,book,James W. Pipkin,Sporting Lives: Metaphor and Myth in American Sports,,20,10,28.75
171,book,William E. Cain,American Literature  Volume II (Penguin Academics Series),,20,10,42.93
172,book,Henry Lyman,After Frost: Anthol Poetry From N E,,20,10,22.03
173,book,Frank Finale,To The Shore Once More  Volume II: A Journey Down The Jersey Shore; Prose  Poetry  And Works Of Art,,20,10,48.00
174,book,Madeleine L'Engle,Winter Song: Christmas Readings,,20,10,1.99
175,book,Robert Bly,Rag and Bone Shop of the Heart: A Poetry Anthology,,20,10,13.82
176,book,David Lehman,Oxford Book of American Poetry,,20,10,23.20
177,book,Jack Kerouac,The Portable Jack Kerouac,,20,10,16.15
178,book,Roberto Santiago,Boricuas: Influential Puerto Rican Writings--- An Anthology,,20,10,13.99
179,book,Mary Frosch,Coming of Age in the 21st Century,,20,10,14.59
180,book,Kenneth T. Jackson,Empire City: New York Through the Centuries,,20,10,18.20
181,book,Miriam Decosta-Willis,Erotique Noire: Black Erotica,,20,10,15.99
182,book,Robert Penn Warren,Short Story Masterpieces,,20,10,7.99
183,book,Barbara Parisi,The Best American Short Plays 2006-2007,,20,10,17.74
184,book,David R. Roediger,Black on White: Black Writers on What It Means to Be White,,20,10,9.99
185,book,Larry McMurtry,In a Narrow Grave: Essays on Texas,,20,10,10.92
186,book,Clifford Chase,Queer 13: Lesbian and Gay Writers Recall Seventh Grade,,20,10,15.95
187,book,Paul Beatty,Hokum: An Anthology of African-American Humor,,20,10,16.95
188,book,Jon Meacham,Voices in Our Blood: America's Best on the Civil Rights Movement,,20,10,14.98
